dataset_index,display_no,article_id,title,media,pub_date,keyword,cluster,expected_type,current_prediction,triggered_rule,prediction_after_rule,correct_before,correct_after
26,27,6d82dba08290,"구글, 제미나이 경량모델 3종 출시···'프로'는 미공개",SISAJOURNAL-E,2026-07-22,클라우드 보안 취약점,,보도자료형,보도자료형,,보도자료형,Y,Y
27,28,5d2575006453,"휴네시온, N2SF·SBOM 사업 잇달아 참여…공공 보안 레퍼런스 확대",데이터넷,2026-07-22,클라우드 보안 취약점,,일반 기사,일반 기사,,일반 기사,Y,Y
28,29,ccd6cef188a8,[Global Security TOP 100] 이동범 지니언스 대표 “국민훈장 영광 동시에...,보안뉴스,2026-07-22,클라우드 보안 취약점,,인터뷰,인터뷰,,인터뷰,Y,Y
29,30,742dcb6587d5,"클루커스, Straiker와 전략적 파트너십 체결…국내 에이전틱 AI 보안 시장...",전자신문,2026-07-22,클라우드 보안 취약점,,보도자료형,보도자료형,,보도자료형,Y,Y
30,31,420e05e75ab4,"인엠스, '엑시오 VPN Edge·Axio VPN Server' 조달청 등록…”김승태 부사...",THEPOWERNEWS,2026-07-20,Microsoft 라이선스 IT솔루션,cluster_inaims_procurement,인터뷰,인터뷰,,인터뷰,Y,Y
31,32,21254d8033e4,"인엠스, '엑시오 VPN Edge·Axio VPN Server' 조달등록 완료",E2NEWS,2026-07-20,Microsoft 라이선스 IT솔루션,cluster_inaims_procurement,보도자료형,보도자료형,,보도자료형,Y,Y
32,33,d3dfb60573d2,"RSA, 생성형 AI 보안 위협 대응 위한 'RSA ID Plus' 패스워드리스 인증 강...",LIVESNEWS,2026-07-22,제로트러스트 보안 기업,,일반 기사,일반 기사,,일반 기사,Y,Y
33,34,61222d94c791,"KT, 18조 투자 'AX 플랫폼 기업' 대 전환. AI 데이터센터 용량 대폭 확충",AUTODAILY,2026-07-22,제로트러스트 보안 기업,,일반 기사,일반 기사,,일반 기사,Y,Y
34,35,92158441cff6,"RSA, AI 업무 환경 겨냥 'RSA ID Plus' 패스워드리스 인증 솔루션 제안",HINEWS,2026-07-22,제로트러스트 보안 기업,,일반 기사,일반 기사,,일반 기사,Y,Y
35,36,30a3a2354a78,"시큐리티플랫폼, 제로트러스트 영상보안으로 공공시장 공략 확대",IT비즈뉴스,2026-07-22,제로트러스트 보안 기업,,일반 기사,일반 기사,,일반 기사,Y,Y
36,37,3ee50034f404,'휴먼 코드' 고른 정재헌 CEO...사람·조직에서 시작한 SKT의 AI 전환,INSIGHT,2026-07-22,제로트러스트 보안 기업,,일반 기사,일반 기사,,일반 기사,Y,Y
37,38,ab3610b89dd3,"KDI ""10년후 AI로 年일자리 25.6만개 감소…개인 매출은 20% 향상""",SEOULECONEWS,2026-07-22,생성형 AI 도입 기업,cluster_kdi_ai_employment,인터뷰,인터뷰,,인터뷰,Y,Y
38,39,6d9ae42c7313,HD현대 AI 전략 가속…조선소에서 항로까지 연결,POINTDAILY,2026-07-22,생성형 AI 도입 기업,,일반 기사,일반 기사,,일반 기사,Y,Y
39,40,c3141c180122,"""AI 도입으로 10년 후 일자리 연간 25만개 이상 감소""...KDI, 전문직 사무...",BEYONDPOST,2026-07-22,생성형 AI 도입 기업,cluster_kdi_ai_employment,인터뷰,인터뷰,,인터뷰,Y,Y
40,41,d26b28d608bb,"김용범 ""AI는 이제 기본권...현금 나누는 복지 아니야""",ECONOVILL,2026-07-22,생성형 AI 도입 기업,cluster_kdi_ai_employment,인터뷰,인터뷰,,인터뷰,Y,Y
41,42,6e626a197091,"KDI ""AI로 10년 뒤 일자리 25.6만 개 감소...생산성은 향상""",YTN,2026-07-22,생성형 AI 도입 기업,cluster_kdi_ai_employment,인터뷰,인터뷰,,인터뷰,Y,Y
42,43,26da8f257641,"AI가 캠페인 기획·발송까지… 인비토, ‘한국형 Braze’ 한줄로AI 출시",VENTURESQUARE,2026-07-22,생성형 AI 도입 기업,,보도자료형,일반 기사,P2d,보도자료형,N,Y
43,44,937c116b0c9c,"KDI ""AI 확산 10년 뒤 연간 일자리 25.6만개 감소…생산성은 향상""",TJB,2026-07-22,생성형 AI 도입 기업,cluster_kdi_ai_employment,인터뷰,인터뷰,,인터뷰,Y,Y
44,45,e5d4fc5b4755,"미래에셋생명, 공덕시대 개막… '한국형 버크셔 해서웨이' 전략 속도낸...",S-JOURNAL,2026-07-22,생성형 AI 도입 기업,,일반 기사,일반 기사,,일반 기사,Y,Y
