idx,title,url,media,pub_date,keyword,cluster,expected_type,expected_category,human_label_reason,pipeline_type,stale_pipeline_type,confidence,score,ax1,ax2,ax3,ax4,ax5,ax6,deduct,type_correct
11,"AI가 AI를 공격하는 시대, 'AI 하네스' 세대교체 진행중",https://www.datanet.co.kr/news/articleView.html?idxno=213210,데이터넷,2026-07-21,랜섬웨어 침해 사고,,일반 기사,리스크,AI 에이전트 상호 공격 신세대 기법. 특정인 발언 없이 기술 트렌드 보도 = 일반 기사.,일반 기사,일반 기사,낮음,34,15,8,0,2,6,3,0,Y
12,"SGA솔루션즈, 호남 중소기업 PC 보안 지원…악성코드·패치 관리 제공",https://www.widedaily.com/news/articleView.html?idxno=297871,WIDEDAILY,2026-07-21,랜섬웨어 침해 사고,,보도자료형,클라우드·보안,SGA솔루션즈 호남 중소기업 PC보안 지원 발표. 기업 CSR/서비스 발표 = 보도자료형. 강한 PR 시그널 단어 없어 분류기 미탐지 가능.,일반 기사,일반 기사,보통,17,10,2,4,5,3,3,-10,N
13,"AI가 AI를 해킹했다…허깅페이스, 자율 AI 에이전트 공격 받아",https://www.dailysecu.com/news/articleView.html?idxno=207696,데일리시큐,2026-07-20,랜섬웨어 침해 사고,,일반 기사,리스크,허깅페이스 자율 AI 에이전트 공격 피해. 외부 사건 전달 = 일반 기사.,일반 기사,일반 기사,보통,33,15,8,0,2,8,0,0,Y
14,"[사례연구] 금융 A사, 시큐아이 MDR 서비스로 보안 체계 고도화",https://www.datanet.co.kr/news/articleView.html?idxno=213160,데이터넷,2026-07-20,랜섬웨어 침해 사고,,기획·분석,클라우드·보안,[사례연구] 편집 마커. 금융 A사 MDR 도입 사례 분석 = 기획·분석.,기획·분석,일반 기사,보통,35,15,8,4,2,6,0,0,Y
15,"한국타이어, AI 상담 서비스 ‘티봇’ 론칭 프로모션",https://www.busan.com/view/busan/view.php?code=2026072214152637046,BUSAN,2026-07-22,AX 디지털전환 기업,,보도자료형,AI·AX 시장동향,한국타이어 '티봇' 론칭 프로모션. '론칭 프로모션' = 강한 PR 신호.,보도자료형,일반 기사,보통,1,3,5,0,5,3,5,-20,Y
16,"충주시, 제조 AX 거점 조성 피지컬AI 생태계 초석 다져",https://www.ccreview.co.kr/news/articleView.html?idxno=353312,CCREVIEW,2026-07-22,AX 디지털전환 기업,,일반 기사,AI·AX 시장동향,충주시 피지컬AI 생태계 조성 정책. 지자체 정책 발표 = 일반 기사.,일반 기사,일반 기사,보통,21,3,5,0,5,3,5,0,Y
17,"카카오엔터프라이즈, 이재한 신임 대표 내정…이원주 대표 사퇴",https://view.asiae.co.kr/article/2026072214174694191,VIEW,2026-07-22,AX 디지털전환 기업,,일반 기사,AI·AX 시장동향,카카오엔터프라이즈 신임 대표 내정. 임원 인사 사실 전달 = 일반 기사.,일반 기사,일반 기사,보통,28,10,5,0,5,3,5,0,Y
18,부울경 수출기업 만난 윤진식 회장 “美 비자 개선 계속 건의”,https://biz.heraldcorp.com/article/10816062?ref=naver,BIZ,2026-07-22,AX 디지털전환 기업,,인터뷰,AI·AX 시장동향,윤진식 회장 '美 비자 개선 계속 건의' 발언 중심. 제목에 따옴표+발언 = 인터뷰.,인터뷰,인터뷰,보통,24,3,8,0,5,3,5,0,Y
19,"윤진식 무협 회장 ""美 비자 개선·AX 전환 지원 강화""…부울경 수출기업...",https://www.etoday.co.kr/news/view/2605782,이투데이,2026-07-22,AX 디지털전환 기업,,인터뷰,AI·AX 시장동향,윤진식 회장 '美 비자·AX 지원 강화' 발언 중심. #18과 동일 사건 이투데이 보도 = 인터뷰.,인터뷰,인터뷰,보통,33,3,8,4,5,8,5,0,Y
20,"중기중앙회, '2026년 제1차 식품산업위원회' 개최",https://www.pinpointnews.co.kr/news/articleView.html?idxno=470483,PINPOINTNEWS,2026-07-22,AX 디지털전환 기업,,보도자료형,AI·AX 시장동향,중기중앙회 식품산업위원회 개최 알림. 기관 주도 행사 개최 발표 = 보도자료형.,일반 기사,보도자료형,보통,1,3,5,0,5,3,5,-20,N
21,"'K-디스플레이 2026' 개막…삼성·LG 총출동, AI 품은 OLED 한곳에",https://www.shinailbo.co.kr/news/articleView.html?idxno=5043268,SHINAILBO,2026-07-22,AX 디지털전환 기업,,행사·현장,AI·AX 시장동향,K-디스플레이 2026 개막·삼성LG 총출동. '총출동' = 행사·현장 신호.,행사·현장,행사·현장,보통,24,3,8,0,5,3,5,0,Y
22,"삼성디스플레이, AI 비전 'O.P.E.N.' 공개… ""엔비디아 협력해 자율공장...",https://www.ddaily.co.kr/page/view/2026072213290830645,DDAILY,2026-07-22,AX 디지털전환 기업,,인터뷰,AI·AX 시장동향,삼성디스플레이 임원 엔비디아 협력 비전 발언. 제목에 따옴표+발언 = 인터뷰.,보도자료형,인터뷰,보통,24,3,8,0,5,3,5,0,N
23,"[보안 칼럼] AI를 빠르게 도입할수록, 아무것도 믿지 말아야 하는 이유",https://www.dailysecu.com/news/articleView.html?idxno=207729,데일리시큐,2026-07-22,클라우드 보안 취약점,,기획·분석,리스크,[보안 칼럼] 편집 마커. AI 도입과 제로트러스트 분석 칼럼 = 기획·분석.,기획·분석,일반 기사,낮음,48,15,14,4,2,8,5,0,Y
24,"구글도 사이버 보안 전용 모델 첫 출시...""미소스의 가성비 대안""",https://www.aitimes.com/news/articleView.html?idxno=213023,AI타임스,2026-07-22,클라우드 보안 취약점,,인터뷰,리스크,구글 사이버보안 전용 모델 출시 '가성비 대안' 발언. 따옴표 인용 중심 = 인터뷰.,일반 기사,인터뷰,낮음,44,15,14,0,2,8,5,0,N
25,"아이티언, '인그레스 투 엔지에프' 선봬…NGINX 인그레스 종료 대응 지원",https://www.koit.co.kr/news/articleView.html?idxno=208087,KOIT,2026-07-22,클라우드 보안 취약점,,보도자료형,클라우드·보안,아이티언 '인그레스 투 엔지에프' 선봬. '선봬' = 강한 PR 신호.,보도자료형,일반 기사,보통,39,15,14,0,2,3,5,0,Y
26,"AI스페라, '크리미널 IP' PCI DSS 최고 등급 4년 연속 인증 유지",https://www.datanet.co.kr/news/articleView.html?idxno=213223,데이터넷,2026-07-22,클라우드 보안 취약점,,일반 기사,클라우드·보안,AI스페라 PCI DSS 4년 연속 인증 유지. 인증 갱신(유지)은 PR 신호 아님 = 일반 기사.,일반 기사,일반 기사,낮음,28,10,2,0,5,6,5,0,Y
27,"구글, 제미나이 경량모델 3종 출시···'프로'는 미공개",https://www.sisajournal-e.com/news/articleView.html?idxno=422572,SISAJOURNAL-E,2026-07-22,클라우드 보안 취약점,,보도자료형,클라우드·보안,구글 제미나이 경량모델 3종 출시. 신규 모델 라인업 발표 = 보도자료형.,보도자료형,보도자료형,낮음,10,15,2,0,5,3,5,-20,Y
28,"휴네시온, N2SF·SBOM 사업 잇달아 참여…공공 보안 레퍼런스 확대",https://www.datanet.co.kr/news/articleView.html?idxno=213217,데이터넷,2026-07-22,클라우드 보안 취약점,,일반 기사,클라우드·보안,휴네시온 N2SF·SBOM 사업 참여. 사업 참여 사실 전달 = 일반 기사.,일반 기사,일반 기사,보통,46,15,14,4,2,6,5,0,Y
29,[Global Security TOP 100] 이동범 지니언스 대표 “국민훈장 영광 동시에...,http://www.boannews.com/media/view.asp?idx=144761&kind=3,보안뉴스,2026-07-22,클라우드 보안 취약점,,인터뷰,클라우드·보안,[Global Security TOP 100] 이동범 지니언스 대표 수상 소감·비전 발언 = 인터뷰.,인터뷰,인터뷰,보통,46,15,14,0,2,10,5,0,Y
30,"클루커스, Straiker와 전략적 파트너십 체결…국내 에이전틱 AI 보안 시장...",https://www.etnews.com/20260722000058,전자신문,2026-07-22,클라우드 보안 취약점,,보도자료형,클라우드·보안,클루커스·Straiker 전략적 파트너십 체결. '전략적 파트너십' = 강한 PR 신호.,보도자료형,보도자료형,보통,21,15,2,4,5,10,5,-20,Y
31,"인엠스, '엑시오 VPN Edge·Axio VPN Server' 조달청 등록…”김승태 부사...",https://www.thepowernews.co.kr/view.php?ud=2026072014274340549aeda69934_7,THEPOWERNEWS,2026-07-20,Microsoft 라이선스 IT솔루션,cluster_inaims_procurement,인터뷰,주요 벤더,인엠스 조달청 등록. 김승태 부사장 발언 포함 = 인터뷰. #32 E2NEWS 와 동일 사건 다른 매체·다른 구성.,인터뷰,인터뷰,낮음,15,12,8,0,2,3,0,-10,Y
32,"인엠스, '엑시오 VPN Edge·Axio VPN Server' 조달등록 완료",http://www.e2news.com/news/articleView.html?idxno=332453,E2NEWS,2026-07-20,Microsoft 라이선스 IT솔루션,cluster_inaims_procurement,보도자료형,주요 벤더,인엠스 조달등록 완료 알림. 발표 단편 구성 = 보도자료형. #31 THEPOWERNEWS 와 동일 사건 다른 매체.,보도자료형,일반 기사,낮음,9,12,2,0,2,3,0,-10,Y
33,"RSA, 생성형 AI 보안 위협 대응 위한 'RSA ID Plus' 패스워드리스 인증 강...",https://www.livesnews.com/news/article.html?no=62824,LIVESNEWS,2026-07-22,제로트러스트 보안 기업,,일반 기사,리스크,RSA 패스워드리스 인증 솔루션 제안 보도. 보안 솔루션 전략 = 일반 기사.,일반 기사,일반 기사,보통,43,15,14,4,2,3,5,0,Y
34,"KT, 18조 투자 'AX 플랫폼 기업' 대 전환. AI 데이터센터 용량 대폭 확충",https://www.autodaily.co.kr/news/articleView.html?idxno=545971,AUTODAILY,2026-07-22,제로트러스트 보안 기업,,일반 기사,AI·AX 시장동향,KT 18조 투자·AX 플랫폼 기업 전환 전략 보도 = 일반 기사.,일반 기사,일반 기사,보통,28,10,5,0,5,3,5,0,Y
35,"RSA, AI 업무 환경 겨냥 'RSA ID Plus' 패스워드리스 인증 솔루션 제안",https://www.hinews.co.kr/view.php?ud=202607221013347326dacadeb388_48,HINEWS,2026-07-22,제로트러스트 보안 기업,,일반 기사,리스크,RSA AI 업무 환경 보안 솔루션 제안 보도 = 일반 기사.,일반 기사,일반 기사,보통,43,15,14,4,2,3,5,0,Y
36,"시큐리티플랫폼, 제로트러스트 영상보안으로 공공시장 공략 확대",https://www.itbiznews.com/news/articleView.html?idxno=219654,IT비즈뉴스,2026-07-22,제로트러스트 보안 기업,,일반 기사,클라우드·보안,시큐리티플랫폼 제로트러스트 영상보안 공공시장 진출 전략 = 일반 기사.,일반 기사,일반 기사,보통,24,3,5,0,5,6,5,0,Y
37,'휴먼 코드' 고른 정재헌 CEO...사람·조직에서 시작한 SKT의 AI 전환,https://www.insight.co.kr/news/564076,INSIGHT,2026-07-22,제로트러스트 보안 기업,,일반 기사,AI·AX 시장동향,"SKT 정재헌 CEO AI 전환 전략 기사. 전략 보도, 인터뷰 구조 아님 = 일반 기사.",일반 기사,일반 기사,보통,21,3,5,0,5,3,5,0,Y
38,"KDI ""10년후 AI로 年일자리 25.6만개 감소…개인 매출은 20% 향상""",http://www.seouleconews.com/news/articleView.html?idxno=92551,SEOULECONEWS,2026-07-22,생성형 AI 도입 기업,cluster_kdi_ai_employment,인터뷰,AI·AX 시장동향,KDI '10년 후 일자리 25.6만 개 감소' 발언 중심. 동일 보고서 클러스터.,인터뷰,인터뷰,높음,35,3,8,11,5,3,5,0,Y
39,HD현대 AI 전략 가속…조선소에서 항로까지 연결,https://www.pointdaily.co.kr/news/articleView.html?idxno=312749,POINTDAILY,2026-07-22,생성형 AI 도입 기업,,일반 기사,AI·AX 시장동향,HD현대 AI 전략 가속 보도. 별도 기업 전략 기사 = 일반 기사.,일반 기사,일반 기사,보통,25,10,2,0,5,3,5,0,Y
40,"""AI 도입으로 10년 후 일자리 연간 25만개 이상 감소""...KDI, 전문직 사무...",http://www.beyondpost.co.kr/view.php?ud=2026072213522936602aaae0046f_30,BEYONDPOST,2026-07-22,생성형 AI 도입 기업,cluster_kdi_ai_employment,인터뷰,AI·AX 시장동향,KDI 보고서 '10년 후 25만개 이상 감소' 발언 중심. 동일 보고서 클러스터.,인터뷰,인터뷰,높음,35,3,8,11,5,3,5,0,Y
41,"김용범 ""AI는 이제 기본권...현금 나누는 복지 아니야""",https://www.econovill.com/news/articleView.html?idxno=745822,ECONOVILL,2026-07-22,생성형 AI 도입 기업,cluster_kdi_ai_employment,인터뷰,AI·AX 시장동향,김용범 'AI는 기본권' 발언. KDI 보고서 발표 이후 정치인 반응 인터뷰. 동일 뉴스 사이클.,인터뷰,인터뷰,낮음,24,3,8,0,5,3,5,0,Y
42,"KDI ""AI로 10년 뒤 일자리 25.6만 개 감소...생산성은 향상""",https://www.ytn.co.kr/_ln/0102_202607221348165881,YTN,2026-07-22,생성형 AI 도입 기업,cluster_kdi_ai_employment,인터뷰,AI·AX 시장동향,KDI 'AI로 일자리 25.6만 개 감소' YTN 보도. 동일 보고서 클러스터.,인터뷰,인터뷰,보통,45,10,8,7,5,10,5,0,Y
43,"AI가 캠페인 기획·발송까지… 인비토, ‘한국형 Braze’ 한줄로AI 출시",https://www.venturesquare.net/1100171/,VENTURESQUARE,2026-07-22,생성형 AI 도입 기업,,보도자료형,AI·AX 시장동향,인비토 '한줄로AI' 출시 홍보. 신규 서비스 출시 알림 = 보도자료형. '출시' 단독 미탐지 가능성 있어 A+B+C 복합 규칙 대상.,일반 기사,기획·분석,보통,29,3,13,0,5,3,5,0,N
44,"KDI ""AI 확산 10년 뒤 연간 일자리 25.6만개 감소…생산성은 향상""",https://www.tjb.co.kr/news05/bodo/view/id/101286,TJB,2026-07-22,생성형 AI 도입 기업,cluster_kdi_ai_employment,인터뷰,AI·AX 시장동향,KDI 'AI 확산 10년 뒤 25.6만 개 감소' TJB 보도. 동일 보고서 클러스터.,인터뷰,인터뷰,보통,38,10,8,7,5,3,5,0,Y
45,"미래에셋생명, 공덕시대 개막… '한국형 버크셔 해서웨이' 전략 속도낸...",https://www.s-journal.co.kr/news/articleView.html?idxno=42549,S-JOURNAL,2026-07-22,생성형 AI 도입 기업,,일반 기사,AI·AX 시장동향,"미래에셋생명 '공덕시대 개막'. '개막'은 비유적 표현, 행사 아님 = 일반 기사.",일반 기사,일반 기사,보통,21,3,5,0,5,3,5,0,Y
